date,reserves,interpolated
2022-04-01,39681.89724458474,False
2022-05-01,38882.990749716,False
2022-06-01,38734.389846048,False
2022-07-01,39334.151351863125,False
2022-08-01,38973.52706373834,False
2022-09-01,38538.64171603231,False
2022-10-01,37768.13395536263,False
2022-11-01,37216.433818359525,False
2022-12-01,36990.69608594948,False
2023-01-01,37143.0925128381,False
2023-02-01,36818.739913351106,False
2023-03-01,36088.19622464291,False
2023-04-01,35360.100530314005,False
2023-05-01,35208.75287963222,False
2023-06-01,34585.77467088722,False
2023-07-01,34016.863306782776,False
2023-08-01,33831.18567666652,False
2023-09-01,33319.176473079475,False
2023-10-01,33266.4303806915,False
2023-11-01,33264.12303180611,False
2023-12-01,32858.002404586,False
2024-01-01,33195.836211436,False
2024-02-01,33366.37869392583,False
2024-03-01,34166.600862084444,False
2024-04-01,32526.23036916889,False
2024-05-01,32575.999495133634,False
2024-06-01,33419.90706992529,False
2024-07-01,35659.54705817652,False
2024-08-01,36578.61407619455,False
2024-09-01,37135.114368957,False
2024-10-01,39044.00182157863,False
2024-11-01,40172.568575357,False
2024-12-01,40620.498903457505,False
